"censusYear","zone","Channel Islands","UK part not specified","Irish Republic","China","South Africa","Africa other","Caribbean","South America","Other Middle East","Other East Asia","Other Europe","Rest of World","England","Scotland","Wales","Northern Ireland","Australia","Canada","New Zealand","Kenya","Zimbabwe","Nigeria","Bangladesh","India","Pakistan","Hong Kong","Malaysia","Singapore","France","Germany","Greece","Italy","Netherlands","Spain","Poland","Romania","Turkey","United States","Iran"
1991,"5912AW",3,0,31,4,8,4,0,1,1,1,8,25,698,8268,36,43,5,14,0,3,0,0,0,5,6,2,1,9,4,26,3,3,0,1,9,0,1,17,4
1991,"5913AA",1,0,19,1,6,6,2,0,1,0,6,13,355,5142,13,32,2,12,6,3,0,2,1,3,2,14,2,1,6,15,1,5,0,0,20,0,5,10,0
1991,"5913AB",0,0,19,0,6,15,1,2,1,1,4,10,368,6493,20,29,10,8,2,1,2,2,0,11,19,5,1,4,1,19,0,7,1,0,19,0,0,5,2
1991,"5913AC",0,0,7,0,5,4,1,0,2,2,2,2,196,4821,13,22,2,9,0,0,0,1,0,4,1,0,0,2,2,13,0,3,0,0,16,0,0,15,0
1991,"5913AD",0,0,5,0,4,2,0,0,0,1,1,1,196,4282,6,13,2,2,0,1,4,0,0,4,8,0,0,2,1,10,0,2,0,2,5,0,0,0,0
1991,"5913AE",0,0,30,0,7,14,3,4,13,2,10,8,724,10260,49,50,22,28,3,5,3,2,6,23,37,7,6,10,6,43,2,13,5,2,30,0,0,13,0
1991,"5913AF",1,0,42,0,10,9,4,2,18,0,14,30,914,17553,48,81,17,13,1,0,6,4,0,9,43,8,2,10,2,73,0,12,1,2,42,0,0,19,5
1991,"5913AG",1,5,10,3,9,1,2,1,2,2,4,8,636,5487,34,28,10,11,6,2,1,0,0,12,3,12,0,3,2,21,1,3,4,2,17,1,1,3,0
1991,"5913AH",0,0,3,3,6,2,0,0,1,0,7,3,194,2404,9,11,1,5,2,0,0,0,0,3,0,1,0,1,0,11,0,4,0,4,1,0,0,0,0
1991,"5913AK",0,0,24,0,1,4,0,0,0,0,4,5,332,6640,8,8,6,7,0,5,4,0,0,8,6,7,0,1,0,26,0,2,0,0,4,0,0,1,0
1991,"5913AL",2,0,13,0,8,5,0,2,2,0,5,9,464,4686,15,31,10,7,1,0,5,0,0,4,7,10,2,4,0,24,0,1,2,3,4,0,0,2,0
1991,"5913AM",7,1,30,6,8,11,4,2,4,3,7,23,823,8611,36,37,16,11,5,5,7,1,1,5,7,13,5,12,0,64,0,5,1,0,6,0,0,7,0
1991,"5913AN",2,0,10,0,2,2,1,2,3,0,1,7,440,4384,25,49,3,8,2,2,0,0,0,12,12,15,3,4,0,20,0,4,4,3,6,0,0,10,0
1991,"5913AP",3,0,40,1,11,9,1,1,0,0,7,24,805,8696,39,31,15,18,8,1,2,1,2,6,25,11,2,6,5,37,0,10,1,2,8,0,0,7,3
1991,"5913AQ",3,0,26,0,3,7,0,2,0,0,8,5,292,4410,13,21,1,5,3,5,0,0,3,6,0,8,0,1,3,22,0,1,0,0,11,0,0,3,1
1991,"5913AR",1,0,22,0,10,7,6,1,7,0,17,12,960,9909,51,47,9,19,3,5,5,1,0,9,27,5,2,6,1,52,3,5,0,1,10,0,0,15,1
1991,"5913AS",1,0,12,0,0,1,0,0,0,0,1,2,188,4959,11,9,1,5,0,0,2,0,0,1,11,6,0,1,0,17,0,3,0,0,14,0,2,2,0
1991,"5913AT",0,0,9,0,0,1,0,0,0,0,2,5,196,5554,8,8,1,7,1,0,1,0,0,3,3,2,0,4,0,13,0,2,0,0,5,0,0,8,0
1991,"5913AU",0,0,12,0,2,3,0,0,2,0,2,5,201,5647,7,18,9,8,3,1,0,0,0,4,15,9,1,3,1,25,1,4,0,0,7,0,0,4,0
1991,"5913AW",0,0,14,0,1,1,2,3,1,0,15,4,277,5571,9,15,1,3,0,0,1,2,0,2,4,5,3,2,0,23,3,4,2,0,9,0,0,2,0
1991,"5913AX",1,0,18,2,3,8,0,2,8,0,7,2,389,8282,16,30,3,7,3,1,0,0,1,6,2,10,0,3,1,34,0,14,2,0,19,0,0,2,0
1991,"5914AA",0,0,25,2,12,12,4,8,9,2,16,5,758,4335,37,48,9,17,9,2,4,3,0,9,4,4,6,8,2,22,2,3,3,4,4,0,0,23,4
1991,"5914AB",0,0,9,0,8,4,0,12,2,0,2,5,302,3014,15,18,2,4,7,1,0,0,1,7,0,5,2,0,0,15,0,2,4,0,5,0,0,12,1
1991,"5914AE",0,0,16,0,4,16,1,4,2,5,7,7,577,5734,19,27,10,17,1,5,5,0,0,11,0,1,0,1,0,11,0,5,5,0,9,0,0,14,1
1991,"5914AG",0,0,8,0,2,5,2,2,2,1,6,3,228,2157,6,12,0,9,2,1,0,0,0,4,0,1,0,0,0,7,0,0,0,0,4,0,0,12,0
1991,"5914AH",0,0,6,0,2,4,4,0,2,1,14,9,309,2114,17,13,8,5,3,4,0,3,0,14,1,1,5,0,2,6,0,1,3,0,2,0,0,3,0
