"Zone Code","UV0280002","UV0280012"
"60QA001207",67,2
"60QA001208",95,2
"60QA001209",104,4
"60QA001210",53,1
"60QA001211",39,0
"60QA001212",62,0
"60QA001213",80,1
"60QA001214",76,2
"60QA001215",82,4
"60QA001216",113,1
"60QA001217",55,1
"60QA001218",75,2
"60QA001219",111,4
"60QA001220",22,1
"60QA001221",93,3
"60QA001222",29,1
"60QA001223",146,0
"60QA001224",97,1
"60QA001225",103,4
"60QA001226",130,2
"60QA001227",134,7
"60QA001228",83,3
"60QA001229",69,1
"60QA001230",117,3
"60QA001231",101,2
"60QA001232",118,3
"60QA001233",118,1
"60QA001234",119,3
"60QA001235",100,1
"60QA001236",76,1
"60QA001237",61,2
"60QA001238",63,1
"60QA001239",37,1
"60QA001240",55,4
"60QA001241",113,3
"60QA001242",56,1
"60QA001243",51,2
"60QA001244",97,2
"60QA001245",84,8
"60QA001246",57,1
"60QA001247",70,2
"60QA001248",55,1
"60QA001249",91,3
"60QA001250",79,3
"60QA001251",42,1
"60QA001252",62,3
"60QA001253",62,1
"60QA001254",74,2
"60QA001255",71,4
"60QA001256",67,4
"60QA001257",43,3
"60QA001258",43,2
"60QA001259",49,3
"60QA001260",57,4
"60QA001261",67,4
"60QA001262",67,2
"60QA001263",58,2
